Label,Value
2547,349.367
3059,473.366
3083,100.437
2315,164.253
3339,164.4
2827,288.312
3211,205.632
2699,242.691
2443,201.658
2955,240.275
3147,227.895
2635,232.902
2379,101.418
3403,185.221
2891,175.513
2251,197.17
3275,316.157
2763,135.806
2507,207.818
3019,241.789
3115,431.124
2603,150.59
2347,224.87
2859,308.959
3243,174.879
2731,190.029
2475,225.73
2987,230.912
3179,132.21
2667,364.746
2411,309.364
2923,249.641
3307,116.933
2795,186.367
3099,165.952
2587,200.771
3355,103.095
2843,372.253
3227,191.19
2715,225.061
2459,163.353
2971,186.646
3163,145.657
2651,512.548
2395,330.988
3419,180.843
2907,148.09
3291,132.074
2779,176.601
2523,176.885
3035,251.984
2619,367.67
2363,175.195
3387,157.475
2875,242.65
2235,145.096
3259,285.527
2747,110.585
2491,660.917
3003,134.267
3195,303.724
2427,348.452
2939,146.858
2299,108.101
3323,165.231
2811,163.958
2555,118.452
3067,274.861
3079,331.876
2567,389.499
2311,451.794
3335,162.311
2823,177.44
3207,206.451
2695,400.182
2439,476.766
2951,180.893
3143,314.785
2631,361.101
2375,220.662
2887,100.53
2247,195.952
3271,312.695
2503,219.396
3015,201.495
3111,200.399
2599,188.342
2343,241.422
3367,267.052
2855,314.962
3239,168.613
2471,238.248
2983,198.243
3175,325.946
2407,190.278
2919,460.095
2279,120.247
3303,104.082
2791,136.966
2535,227.582
3047,82.9921
3095,229.632
2583,251.488
2327,441.833
3351,144.945
2839,390.859
3223,98.2029
2711,252.725
2455,144.984
2967,261.542
3159,126.641
2647,442.515
3415,156.841
2263,191.885
3287,227.565
2775,199.306
3127,226.357
2615,296.609
2359,256.546
3383,215.115
2871,265.085
3255,176.718
2743,163.988
2487,146.691
2999,294.649
2679,281.205
2423,111.713
2935,567.045
2295,360.069
3319,199.377
2807,241.46
2551,243.218
3063,251.065
2575,278.951
2319,354.935
2831,292.588
2703,371.395
2447,304.367
2959,132.982
3151,354.172
2383,312.245
3407,123.762
2895,196.013
2255,118.836
2767,256.847
3023,286.763
3119,405.005
2607,441.218
2351,604.976
3375,236.132
2863,295.011
2735,109.918
2991,209.524
3183,363.159
2671,212.525
2415,152.751
2927,304.74
2287,346.956
3311,165.429
2543,245.071
3055,269.62
3103,246.834
2591,241.151
2335,329.03
3359,160.159
2847,218.473
3231,161.603
2719,183.444
2463,250.523
2975,233.406
3167,232.147
2655,362.564
2399,197.192
2911,265.198
2271,186.172
3295,162.706
2527,366.915
3039,230.155
3135,207.929
2623,162.844
2367,182.189
3391,127.235
2879,386.442
2239,386.477
3263,146.33
2751,23.8764
2495,6.91672
3007,183.882
2687,193.732
2431,464.643
2943,230.151
2303,181.011
3327,216.041
2815,193.136
2559,631.963
3071,409.323
